news_id,category,subcategory,title,abstract
N50253,finance,finance-real-estate,What $1.3M buys in NYC right now,"Five apartments, five NYC neighborhoods"
N58220,sports,football_nfl,"Charges: Fired security guard robs Cowboy Jack's of $24K at gunpoint, knocks out manager","A security guard freshly fired from a popular downtown Minneapolis nightspot, tied up a manager at gunpoint, knocked her unconscious and made off with $24,000 from the office safe, according to federal authorities. Hakeem A. Coles, 24, of St. Louis Park, was indicted in federal court in Minneapolis last week in connection with the Aug. 17 robbery of Cowboy Jack's in the Warehouse District. ..."
N51387,news,newsus,California mountain climber falls after slipping on mountain,Slip on mountains leads to climber's fatal fall.
N60432,sports,basketball_nba,Rodman offers to be NBA's ambassador amid China controversy,Dennis Rodman wants to help make peace between the NBA and China.
N20544,finance,finance-career-education,Here Are The 500 Best STEM High Schools In America: Report,"Five hundred schools have been named the nation's best for science, technology, engineering and math, according to Newsweek."
N49991,news,newsus,Dominican Republic investigating death of American teacher,The death of an American teacher in the Dominican Republic is being investigated as murder. Police say they found Patricia Anton in her apartment in Puerto Plata. Her hands and feet were bound. Officials say the 63-year-old was strangled. Jericka Duncan reports.
N39470,finance,markets,Billionaires could face whopping tax rates under Bernie Sanders,"Billionaires may have much more to fear from a Bernie Sanders presidency than they do from an Elizabeth Warren administration, according to two economists advising both candidates."
N35166,sports,football_ncaa,Texas falls to No. 15 in latest SB Nation FanPulse Top 25,A Minnesota victory over Rutgers apparently impressed the voters.
N7139,health,health-news,Cancer-Linked Contaminants Found In U.S. Drinking Water: Report,A new study found drinking water is often less safe than what the federal government may deem legal.
N42324,news,newsus,Nature up close: The pros and cons of introducing non-native fish species,"Anglers may welcome fighters like trout, but stocking lakes and streams with non-native fish can have disastrous impacts on other organisms"
N55299,news,newspolitics,Nearly half of Americans think Dems have moved too far to the left: Poll,"Nearly half of Americans said the Democratic party has moved ""too far left,"" according to a new poll."
N22991,news,newsworld,Syrian Arab Fighters Backed by Turkey Kill Two Kurdish Prisoners,"Turkish-backed Syrian Arab fighters killed at least two Kurdish prisoners on Saturday, one of them lying on the ground with his hands bound behind his back, in a powerful illustration of the forces unleashed by President Trump's decision to pull back American troops shielding former Kurdish allies in northern Syria."
N53353,lifestyle,shop-all,The 15 Best CBD Vape Pens,"With multiple flavors, dosages, and types of pens to choose from, there's something on this list for you."
N64932,travel,travelarticle,Police warn of replica money going around Pittsburgh area,"The City of Duquesne Police said Saturday that fake money is being passed around. The agency posted to Facebook saying replica money is being passed as the real deal, even though on the bills you can see the word ""replica"" printed below the serial number. Sign up for our Newsletters ""If you are a business owner or deal in cash, please check the money closely,"" said police in their online post. Investigators also said some of the bills have..."
N31204,finance,finance-companies,UBS Is Cutting 40 Banking Jobs in Asia,"UBS Group AG is cutting about 40 jobs in the Asia-Pacific region as part of a global push to trim costs and combine its trading units, according to a person familiar with the matter."
N40437,news,newscrime,Police: Boy reported missing 2 weeks after he disappeared has returned home,"Des Moines police are investigating why a 12-year-old boy was reported missing nearly two weeks after he disappeared. At 6:30 p.m. Wednesday, Faraj Dabi returned home. Sign up for our Newsletters ""(Des Moines police) officers are investigating the circumstances of his absence and at this time it appears to have been voluntary,"" Des Moines police said in a statement on Facebook. Faraj had been reported missing Monday but hadn't been seen for..."
N40813,sports,baseball_mlb_videos,Steve Phillips Previews Game 6 of the World Series,The Nationals will look to force a Game 7 of the World Series when they face Justin Verlander and the Astros in Game 6 on Tuesday. MLB Insider Steve Phillips joins the show to discuss the matchup.
N62483,sports,more_sports,Breaking down the Wizards' shootout loss to the Rockets last night,"The Wizards' offense was on fire for the most part, but late game rebounding cost them the game."
N14581,travel,travelarticle,First Sunday Under New LAX Rideshare System A Nightmare For Travelers,"Irate travelers told CBS2/KCAL 9's Laurie Perez that they had to wait over an hour to get picked up Sunday at the ""LAX-IT"" pick-up lot--- and then forced to pay ""surge"" prices by the rideshare companies."
N19703,news,newsus,Man injured after shots fired on St. Louis interstate,"A man was injured after shots were fired on Interstate 55 in south St. Louis Tuesday afternoon. Police said a 21-year-old man told them someone in a black sedan fired shots into his car as he was driving on I-55 near Broadway. According to the police report, the victim initially stated he abandoned his car and ran to the 700 block of Russell, however, investigation revealed he was actually dropped off at the location by a silver sedan. He was..."
N52464,news,newsus,"Exploring the best of Austin, with cheap flights from Baltimore",Ready for a getaway? We've got your cheapest flights and top local attraction picks to help you explore Austin on a budget.
N57688,sports,racing,Playoffs Pulse: Analyzing the field after Martinsville,"After the opening race of the Round of 8 in the Monster Energy NASCAR Cup Series Playoffs at Martinsville Speedway, here's a brief look at the playoff picture. There are two races remaining in the Round of 8 before the field is whittled to the Championship 4, with four drivers eliminated from the postseason following […]"
N57252,tv,tv-celebrity,Youtuber Lilly Singh Apologizes for 'Disrespectful' Turban Joke She Made at Jessica Alba's Home,Youtuber Lilly Singh Apologizes for 'Disrespectful' Turban Joke
N29590,news,newsus,"Nearly a dozen kids were found to be self-harming at 1 metro school, police say",A DeKalb County school is investigating after nearly a dozen students were found self-harming.
N10346,sports,basketball_nba,The ongoing saga of stolen Disney World items now includes Robin Lopez,"The strange case of missing clothes belonging to a retired animatronic character at Walt Disney World in Florida called ""Buzzy"" took another twist on Monday, more than a year after the theft happened."
N50265,sports,football_nfl,"Houston Texans News: October 23, 2019","Your one-stop shop for Houston Texans, local sports, and news from around the league for Wednesday, October 23, 2019."
