news_id,category,subcategory,title,abstract,classification,justification,confidence,notes
N61121,autos,autosnews,"Woman arrested for 5th OWI after running red light, colliding with semi","BROWN DEER   A 48-year-old Milwaukee woman was arrested for OWI, fifth offense following a two-vehicle accident involving a semi late Thursday night, Oct. 24. It happened around 11:20 p.m. near Green Bay Road and Brown Deer Road. According to police, the 48-year-old Milwaukee woman ran a red light traveling north on the Green Bay Road ramp to Brown Deer Road. Her vehicle collided with a ...",high,"The title and abstract provide concrete, specific, and contextual information about the event, including place, time, and circumstances.",high,Strong example of high informativeness based on title and abstract.
N19575,finance,financenews,"MIT, Harvard Professors Share Nobel Prize In Economics",WBZ TV's Chris McKinnon reports.,low,"The title suggests a relevant topic, but the abstract adds almost no information and does not provide meaningful context.",high,Good example of a case where the abstract is too short to support informativeness.
N10166,foodanddrink,newstrends,"Top Billionaires, New Stores, Best Pizza: DC, VA Business News","Best pizza, top billionaires, Forever 21 stores closing, openings include Smallcakes and Huevos. Here's a roundup of DC, VA business news.",medium,"The item gives a clear idea of the topic and includes some concrete elements, but it is presented as a general roundup with limited depth.",medium,"Informative, but not especially detailed."
N4042,health,health-news,Opioid deaths dropped in Italy due to use of Naloxone,The rate of opioid deaths in the US is 27 times higher than in Italy.,medium,"The abstract provides a concrete comparative statement, but offers little context or explanation beyond the main claim.",medium,"Classification based on informativeness, not on external fact-checking."
N2725,lifestyle,lifestylebuzz,Unity in diversity is focus of next Springfield Speakers Series presentation,The opportunity to learn about religions some may not be familiar with is the focus of the next Global Education and Peace Network Speakers Series event.,medium,"The item communicates the main topic clearly and adds some context, but remains limited in detail and specificity.",medium,"Reasonably informative, though not very dense."
N27317,news,newsus,AG William Barr says he doesn't remember president's request to defend Ukraine call,US AG William Barr says he does not recall Trump request to defend Ukraine call,medium,"The main information is clear, but the abstract mostly repeats the title and adds little new detail or context.",high,Useful example of medium informativeness with low added value in the abstract.
N11534,sports,football_nfl,Watch: Budda Baker pulled this sick move out of 'The Matrix',Baker topped an incredible day on the field with an impressive show of athleticism.,low,"The item is highly attention-oriented and the abstract remains vague, adding little concrete information beyond praise and excitement.",high,Good example of superficial appeal outweighing informational value.
N3358,travel,travelarticle,Conservancy Gala toasts Havana Nights,"On Nov. 2, Centennial Park Conservancy held its annual black-tie fundraiser, Conservancy Gala Then & Now: Havana Nights, at The Parthenon.",high,"The abstract adds concrete details such as date, organization, event type, and location, making the item specific and understandable.",medium,"Borderline case between medium and high, but the added context supports high."
N1448,video,news,2020 Daily Trail Markers: Senator Bernie Sanders rolls out new marijuana legalization policy,"At 4:20 p.m. Eastern on Thursday, Senator Bernie Sanders of Vermont rolled out an ambitious new plan to legalize marijuana. If elected president, Sanders promised to issue an executive order that would remove cannabis from the federal controlled substances list. CBS News reporter Cara Korte, who covers the Sanders' campaign, joined CBSN for this edition of 2020 Daily Trail Markers.",high,"The title and abstract clearly explain the topic, provide context, and add multiple concrete details about the proposal.",high,Strong example of high informativeness.
N33730,weather,weathertopstories,Picturesque Southern Michigan Drone Footage Shows Snowy Adrian College Campus,"A storm system that brought snow and freezing conditions to southern Michigan on Monday, November 11, in the state's first substantial snow of the season, looked nothing short of lovely from the air above the region's Adrian College. The National Weather Service (NWS) warned of treacherous driving conditions in areas between South Bend and Detroit, with snow-covered roads and low visibility. Up to 5 inches of snow had fallen in parts of the state by 3 pm on Monday, the NWS said. This footage was shared by Adrian College, who said they filmed it at their campus in southern Michigan on Monday. Credit: Adrian College via Storyful",high,"The abstract is detailed, specific, and highly informative, providing weather conditions, location, warnings, and source context.",high,Very strong example of high informativeness.
